Dialogue_ID,Utterance_ID,Role,Content,Coding
1,1,user,你好，我想咨询一些问题。,Chitchat
1,2,system,好的，我在请讲。,Chitchat
1,3,user,可以帮我查找一下环境保护法吗。,Querying
1,4,system,《中华人民共和国环境保护法》是为保护和改善环境，防治污染和其他公害，保障公众健康，推进生态文明建设，促进经济社会可持续发展，制定的法律。由中华人民共和国第十二届全国人民代表大会常务委员会第八次会议于2014年4月24日修订通过，自2015年1月1日起施行。,Answering
1,5,user,这里面有关于环境污染的条款吗。,Querying
1,6,system,"有的。《环境保护法》第6条：企业事业单位和其他生产经营者应当防止、减少环境污染和生态破坏，对所造成的损害依法承担责任。

公民应当增强环境保护意识，采取低碳、节俭的生活方式，自觉履行环境保护义务。",Answering
1,7,user,好的，好的，我知道了。,Assessing
1,8,system,请问您还有什么其他想了解的吗？,Checking
1,9,user,想再了解一下有关污染环境的惩罚措施。,Querying
1,10,system,抱歉，我没找到答案。,Answering
1,11,user,那么有污染环境受到惩罚的相关案例吗。,Querying
1,12,system,有的，我找到了环境行政处罚，经典案例供您参考。##<link##113177##link>##,Answering
1,13,user,好长啊，我仔细看一下,Assessing
1,14,user,谢谢你。,Chitchat
1,15,system,请问还有什么其他问题吗？,Checking
1,16,user,污染环境该怎样举报呢？,Querying
1,17,system,您可以拨打全国统一环保举报热线电话12369，也可以登录相关微信公众号平台微博平台或者是官方网站进行举报。,Answering
1,18,user,好的，我没有问题了，谢谢你。,Assessing
1,19,system,不客气，祝您生活愉快，再见。,Chitchat
2,1,user,你好，我想咨询几个问题。,Chitchat
2,2,system,好的，请讲。,Chitchat
2,3,user,想了解一些经典古诗词。,Querying
2,4,system,好的，我找到了满江红写怀卜算子咏梅和念奴娇赤壁怀古等经典古诗词。,Answering
2,5,user,好的，听上去还不错。,Assessing
2,6,system,你想要了解一下吗？,Checking
2,7,user,可以给我发一下满江红写怀的原文吗？,Querying
2,8,system,"满江红-写怀
【宋】岳飞
怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。",Answering
2,9,user,哦，真是波澜壮阔,Chitchat
2,10,user,他是什么时候写的？,Querying
2,11,system,"第一种说法:岳飞第一次北伐,即岳飞30岁出头时所作。如邓广铭先生就持此说。 第二种说法:公元1136年(绍兴六年)。绍兴六年,岳飞第二次出师北伐写的",Answering
2,12,user,嗯，好的，我知道了。,Assessing
2,13,system,请问还有其他需要了解的吗？,Checking
2,14,user,还想再了解一下记忆古诗词的技巧。,Querying
2,15,system,"背古诗的总体原则是 ,先理解 ,再记忆 ,最后应用。这3个缺一不可",Answering
2,16,user,嗯，你说的有道理。,Assessing
2,17,system,请问还有什么想了解的吗？,Checking
2,18,user,没有了,Deciding
2,19,user,谢谢你。,Chitchat
3,1,user,你好？,Chitchat
3,2,system,你好！,Chitchat
